"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2016-06-21,750.1,753.55,742.8,746.75,702800,746.2682
2016-06-22,747,750.95,733.4,739.35,2686900,738.873
2016-06-23,741,750.1,738.15,747.25,987600,746.7679
2016-06-24,730,738.05,710.75,733.9,2002100,733.4265
2016-06-27,723.05,744.6,723.05,739.4,774800,738.923
2016-06-28,738.4,747.8,737.7,743.3,761200,742.8204
2016-06-29,745,754,742.65,752.8,1477200,752.3143
2016-06-30,759.9,766.55,754.25,763.35,3334300,762.8575
2016-07-01,764,766,750.9,753.4,1565200,752.914
2016-07-04,755.5,756.25,741.2,743.95,1172600,743.47
2016-07-05,744.45,747.4,738.4,740.4,1125300,739.9223
2016-07-06,740.4,740.4,740.4,740.4,0,739.9223
2016-07-07,741,751.5,739.15,745.9,963200,745.4188
2016-07-08,745.1,747.7,737.6,743.45,604400,742.9704
2016-07-11,750.95,763,747.1,760.55,1871600,760.0593
2016-07-12,765,766.75,757.95,763.65,1541500,763.1573
2016-07-13,763.45,776.75,760.45,775,2018500,774.5
2016-07-14,779,784,774.4,780.2,1555800,780.2
2016-07-15,779,781,767.65,772.15,2059200,772.15
2016-07-18,775,782.85,769.35,776.8,2358900,776.8
2016-07-19,779.5,781.45,769.4,777.8,1608800,777.8
2016-07-20,778,784.35,778,782.2,1316900,782.2
2016-07-21,786.5,787.5,759,760.65,3849100,760.65
2016-07-22,762,764.9,753.25,760.05,1429600,760.05
2016-07-25,761.95,773.2,750,764.4,3393100,764.4
2016-07-26,765.5,766,746.35,751.7,1749000,751.7
2016-07-27,752.1,760,745.5,754,1076700,754
2016-07-28,756,760.05,745.65,750.35,3435500,750.35
2016-07-29,751.5,766.15,749.3,763.5,1457500,763.5
2016-08-01,766,769.45,748,753.15,1750600,753.15
2016-08-02,750.3,763,749.9,760.1,1495700,760.1
2016-08-03,759,764,754.8,756.2,1344300,756.2
2016-08-04,759.75,761.3,751,756.4,1249500,756.4
2016-08-05,759.8,776,756.6,774.35,2365300,774.35
2016-08-08,777,781.8,767.95,771.5,1659800,771.5
2016-08-09,772.8,772.9,760.1,764.75,877500,764.75
2016-08-10,769.7,769.7,758.65,761.25,1093900,761.25
2016-08-11,761,768.95,759.15,764.65,1006500,764.65
2016-08-12,771.9,771.9,760,762.9,1128100,762.9
2016-08-15,762.9,762.9,762.9,762.9,0,762.9
2016-08-16,766.5,775.9,762.15,772.8,1826100,772.8
2016-08-17,771,771.6,761.1,765.65,814800,765.65
