"Date","COLPAL.NS.Open","COLPAL.NS.High","COLPAL.NS.Low","COLPAL.NS.Close","COLPAL.NS.Volume","COLPAL.NS.Adjusted"
2016-06-28,886,900,878.4,898.25,414800,886.298
2016-06-29,905,910,899.7,908.7,422800,896.609
2016-06-30,910,923.9,910,918.5,580000,906.279
2016-07-01,921.05,922.9,910.7,920.05,160900,907.808
2016-07-04,921.95,927.7,916.6,925.7,212900,913.383
2016-07-05,920,946.45,917.95,941.7,233900,929.17
2016-07-06,941.7,941.7,941.7,941.7,0,929.17
2016-07-07,943.4,948,940.1,947.1,149500,934.498
2016-07-08,946.9,949,940,946.45,322900,933.857
2016-07-11,947.55,954.5,941,944.85,131600,932.278
2016-07-12,944,944,927,932.95,223800,920.537
2016-07-13,935,935,918.55,924.3,183500,912.002
2016-07-14,928.95,939.8,918.85,931.2,212400,918.81
2016-07-15,931.5,940.5,924.65,926.8,154800,914.469
2016-07-18,928,936,923.85,928.9,282400,916.541
2016-07-19,927.1,943.75,923.6,941,447500,928.48
2016-07-20,945,952,940.4,949.05,356400,936.423
2016-07-21,949,964.5,944.65,959.65,384700,946.882
2016-07-22,959.8,961,947,955.25,216800,942.54
2016-07-25,953,964,945.5,961.7,295000,948.904
2016-07-26,954.1,971.5,954.1,967.75,211400,954.874
2016-07-27,964.7,971.7,937.8,943.2,352500,930.65
2016-07-28,942,944.95,920,931.4,387500,919.007
2016-07-29,931,938,930,933.35,242500,920.931
2016-08-01,935.75,954.85,935.05,951.65,223800,938.988
2016-08-02,952,987.7,950,968.65,305600,955.762
2016-08-03,969.85,969.85,930.55,936.15,459200,923.694
2016-08-04,945,953.75,930.75,942.7,449300,930.157
2016-08-05,944.3,961.55,944.2,959.85,125900,947.079
2016-08-08,962,1033,944,1015.25,2207100,1001.742
2016-08-09,1014.9,1014.9,962,970.7,673100,957.784
2016-08-10,970.7,983.45,943,959.8,463900,947.029
2016-08-11,966.9,973,953.05,962.6,236700,949.792
2016-08-12,964.55,970.5,954.1,957.5,84200,944.76
2016-08-15,957.5,957.5,957.5,957.5,0,944.76
2016-08-16,958,967.1,948.55,956.05,139600,943.329
2016-08-17,959,975.15,953,972.4,234000,959.462
2016-08-18,975.15,979,965.1,967.9,150100,955.022
2016-08-19,965.5,970,955,958.05,98900,945.303
2016-08-22,959.8,960,944,947.9,116200,935.288
2016-08-23,947.75,948.9,934.1,936.5,129900,924.04
2016-08-24,944.9,954.85,935,949.9,193100,937.261
2016-08-25,949.9,957.25,935.8,949.15,639500,936.521
2016-08-26,949.15,956.95,945,948.65,126300,936.028
2016-08-29,948.6,948.85,936,937.85,97100,925.372
2016-08-30,940,956.1,937.9,953.15,180700,940.468
2016-08-31,954,957.95,943.5,948.35,110500,935.732
2016-09-01,949.95,954.45,942.55,950.65,102000,938.001
2016-09-02,950.3,967.05,946.25,951.75,185500,939.087
2016-09-05,951.75,951.75,951.75,951.75,0,939.087
2016-09-06,953,978,952.15,975.25,333600,962.274
2016-09-07,976.35,995.4,974,990.75,455700,977.568
2016-09-08,991.85,998.7,982.4,991.4,320500,978.209
2016-09-09,992,994.9,980.15,984.65,216500,971.549
2016-09-12,975,982,966.8,977.9,189700,964.889
2016-09-13,977.9,977.9,977.9,977.9,0,964.889
2016-09-14,977.75,986.15,964.2,970.4,135400,957.488
2016-09-15,970.45,982.85,950.85,963.1,175400,950.286
2016-09-16,964.7,977,961.55,969.55,138500,956.65
2016-09-19,971.55,978.9,955,969.05,193300,956.156
2016-09-20,970.05,972.65,958.25,962.05,145900,949.25
2016-09-21,961.9,975.9,958,969.6,292300,956.699
2016-09-22,975,978.7,966.9,975.2,126700,962.225
2016-09-23,975.2,981.4,961.35,978.75,283400,965.727
2016-09-26,979.95,991.9,968,973.65,208600,960.695
2016-09-27,974.75,982.5,969,978.75,155000,965.727
2016-09-28,981.2,982.5,967.25,974.95,270200,961.978
2016-09-29,975,982,957.9,974.45,1201500,961.485
