"Date","RELCAPITAL.NS.Open","RELCAPITAL.NS.High","RELCAPITAL.NS.Low","RELCAPITAL.NS.Close","RELCAPITAL.NS.Volume","RELCAPITAL.NS.Adjusted"
2016-11-11,486.3,492.95,465,468.35,2692000,468.35
2016-11-14,468.35,468.35,468.35,468.35,0,468.35
2016-11-15,466,466,435,443.5,2482100,443.5
2016-11-16,452,453.75,434.7,436.55,2352100,436.55
2016-11-17,436.8,444.95,431.5,434.35,1831600,434.35
2016-11-18,436.1,441.8,432.1,435.15,1598500,435.15
2016-11-21,437.35,440.3,411.25,416.35,2774100,416.35
2016-11-22,422.35,424.2,410.25,419.9,1988700,419.9
2016-11-23,423.25,445.5,419.9,438.35,3759300,438.35
2016-11-24,430.3,433.75,421.2,423.15,2980900,423.15
2016-11-25,426.45,432.8,423.9,430.1,2151000,430.1
2016-11-28,424.75,436.4,424.75,427.7,1987400,427.7
2016-11-29,427.9,437.9,427.7,430,1934900,430
2016-11-30,431.9,440.6,431.1,439.35,2002100,439.35
2016-12-01,441.4,446.7,431.6,433.45,2242500,433.45
2016-12-02,425.6,430.65,420.1,422.15,1991500,422.15
2016-12-05,420.2,428.45,419.15,427.4,1814700,427.4
2016-12-06,429.05,434.4,427.25,429,1287500,429
2016-12-07,431.7,433.5,423,424.2,1223900,424.2
2016-12-08,428.05,439.25,427.5,436.85,1859900,436.85
2016-12-09,438.7,444.15,433.3,442,1827600,442
2016-12-12,438,440.75,431,433.4,1076300,433.4
2016-12-13,433.95,437.5,431.6,435.7,1579900,435.7
2016-12-14,436.95,438.6,428,430.8,2098800,430.8
2016-12-15,427,446.4,426.15,444.8,3296800,444.8
2016-12-16,446,449.2,440.05,443.65,2152300,443.65
2016-12-19,442.8,462.6,442.35,456.9,3516700,456.9
2016-12-20,456.6,458.75,444.15,450.1,1930100,450.1
2016-12-21,453.4,460.7,452.55,455.15,1985500,455.15
2016-12-22,455.4,458.7,438.65,440.85,2226700,440.85
2016-12-23,443,447.9,435.65,437.55,2460100,437.55
2016-12-26,435.15,435.95,409.45,411.2,2544300,411.2
2016-12-27,409.05,420,407.25,418.8,2407700,418.8
2016-12-28,419.75,425.9,416,416.9,1883300,416.9
2016-12-29,418.4,425.4,416.6,424.4,2165200,424.4
2016-12-30,427.5,435,426.3,431.15,1793100,431.15
2017-01-02,437.8,442.85,430.15,439.9,1976900,439.9
2017-01-03,441.8,444.8,436.7,442.35,1558700,442.35
2017-01-04,443.25,447.95,441.05,443.65,1284000,443.65
2017-01-05,447,450.05,442.05,444.55,2295700,444.55
