"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2016-05-16,173.85,175.4,170.8,173.85,591200,173.23
2016-05-17,174.5,181.7,172.85,178.9,1979300,178.26
2016-05-18,177.95,180.9,176.2,177,758400,176.37
2016-05-19,176.75,179.3,171.35,172.6,633100,171.99
2016-05-20,173,175.5,170.1,171.6,533600,170.99
2016-05-23,173,173.95,166.65,167.05,582500,166.46
2016-05-24,167.95,172.45,166.5,171.25,805100,170.64
2016-05-25,173.05,179.75,170.7,173.7,2727900,173.08
2016-05-26,174,176,172,173.45,788100,172.83
2016-05-27,174.05,176,172.3,173.1,627000,172.48
2016-05-30,173.8,174.75,172.3,173.75,342600,173.13
2016-05-31,174.45,177.7,172.85,174.7,694500,174.08
2016-06-01,176,178,173.9,174.85,1170500,174.23
2016-06-02,174.95,176,172.5,173.8,482400,173.18
2016-06-03,174.7,175.45,170.2,170.85,473400,170.24
2016-06-06,169.2,173.9,168.2,172.95,555900,172.34
2016-06-07,173.7,174.45,170.2,171.85,373000,171.24
2016-06-08,172.7,175.5,170.5,171.9,695600,171.29
2016-06-09,172.25,173.45,170.7,171.85,330000,171.24
2016-06-10,173.1,181,173.1,177.2,2086400,176.57
2016-06-13,175.15,184,173.25,181.75,1761200,181.1
2016-06-14,183,185.4,176.8,180.7,1472400,180.06
2016-06-15,181.95,187,180.25,181.95,1244900,181.3
2016-06-16,181.5,182.9,176.1,178.7,814800,178.06
2016-06-17,179.4,180.4,173.7,176.4,647000,175.77
2016-06-20,177.4,184.5,177.4,183.3,1323600,182.65
2016-06-21,184.7,184.7,180.75,182.15,815900,181.5
2016-06-22,185,210.4,185,207.65,21562700,206.91
2016-06-23,208.05,214,202.9,204.35,7565700,203.62
2016-06-24,192,211.9,185.55,209.55,7160000,208.8
2016-06-27,210,222,208.3,218.3,6863600,217.52
2016-06-28,219.4,224.35,216.15,219.15,3687800,218.37
2016-06-29,220.4,224.2,218.85,222.3,2289700,221.51
2016-06-30,223.9,225.5,218.8,219.9,1875400,219.12
2016-07-01,221.9,228.5,218,223.15,4258900,222.36
2016-07-04,225,225.75,219.5,222.05,1834800,221.26
2016-07-05,222.1,227.75,221.4,222.8,1673300,222.01
2016-07-06,222.8,222.8,222.8,222.8,0,222.01
2016-07-07,223.6,226.85,217.35,218.5,1223600,217.72
2016-07-08,219.1,221.7,214,219.6,1191400,218.82
2016-07-11,222.2,224.85,218,219.75,1043900,218.97
2016-07-12,220.85,229.65,219.5,226.35,1729300,225.55
2016-07-13,229.7,242.6,227,237.65,5786600,236.81
2016-07-14,240.1,245.4,238.6,240.9,2462500,240.04
2016-07-15,242,243.55,235,235.5,1017600,234.66
2016-07-18,237.45,240.5,235,236.15,817800,235.31
2016-07-19,237,240,235.7,238.85,696800,238
2016-07-20,240.6,250.4,240.5,248.5,2421400,247.62
2016-07-21,250.95,256.5,248.6,251.6,1691500,250.71
2016-07-22,251,253.4,246.1,248.45,902300,247.57
2016-07-25,248.8,258.45,244.1,255.35,1555800,254.44
2016-07-26,257.9,260.95,248.05,250.4,1284800,249.51
2016-07-27,252.7,256.85,247.3,253.25,1031300,252.35
2016-07-28,254.55,267,250.1,259.45,5786000,258.53
2016-07-29,260.65,269.7,260.5,262.5,2877100,261.57
2016-08-01,264.95,265.75,256.55,258.6,1484900,257.68
2016-08-02,260,272.9,259.85,268,2637200,267.05
2016-08-03,268.7,270.3,261.05,265.6,1079700,264.66
2016-08-04,268,271.15,258.1,262.5,1189100,261.57
2016-08-05,264.1,267.4,260.65,263.6,598500,262.66
2016-08-08,265.6,265.9,260,261.55,525200,260.62
2016-08-09,262.8,265.55,258.75,260.95,698500,260.02
2016-08-10,262,268.6,259,260,991600,259.08
2016-08-11,260.95,312,255.5,305,13075300,303.92
2016-08-12,304,311.8,295.9,299.6,6365900,298.53
2016-08-15,299.6,299.6,299.6,299.6,0,298.53
2016-08-16,300.8,314.85,299,305,3969500,303.92
2016-08-17,306.3,314.3,305.2,312.15,2421100,311.04
